,original,predict,last_x,direction,diff,,,,
529,234.03,232.91159,234.38,TRUE,0.000%,1.11841,0.48%,,
530,233.86,231.05827,231.93,FALSE,-0.376%,2.80173,1.21%,,
531,233.62,231.89893,233.27,FALSE,-0.588%,1.72107,0.74%,,
532,235.32,233.30835,234.99,FALSE,-0.716%,2.01165,0.86%,,
533,235.54,234.27155,235.47,FALSE,-0.509%,1.26845,0.54%,,
534,236.29,234.74753,235.9,FALSE,-0.489%,1.54247,0.65%,,
535,235.74,234.90877,235.8,TRUE,0.000%,0.83123,0.35%,,
536,235.33,234.87096,235,FALSE,-0.055%,0.45904,0.20%,,
537,235.48,235.13448,236.26,TRUE,0.000%,0.34552,0.15%,,
538,234.78,234.49048,234.94,TRUE,0.000%,0.28952,0.12%,,
539,235.44,234.29593,235.15,FALSE,-0.363%,1.14407,0.49%,,
540,235.2,234.34879,235.36,TRUE,0.000%,0.85121,0.36%,,
541,235.34,234.17216,234.9,FALSE,-0.310%,1.16784,0.50%,,
542,235.06,234.90369,234.74,TRUE,0.000%,0.15631,0.07%,,
543,234.03,233.84656,233.64,TRUE,0.000%,0.18344,0.08%,,
544,232.51,233.64647,233.11,FALSE,-0.230%,-1.13647,-0.49%,,
545,234.57,233.40373,233.72,FALSE,-0.135%,1.16627,0.50%,,
546,233.87,233.8342,234.52,TRUE,0.000%,0.0358,0.02%,,
547,233.44,233.5297,234.15,TRUE,0.000%,-0.0897,-0.04%,,
548,235.34,233.76376,235.25,FALSE,-0.632%,1.57624,0.67%,,
549,234.59,235.58688,237.18,TRUE,0.000%,-0.99688,-0.42%,,
550,237.17,236.19405,237.91,TRUE,0.000%,0.97595,0.41%,,
551,238.55,236.80081,238.51,FALSE,-0.717%,1.74919,0.73%,,
552,238.4,238.00203,238.77,TRUE,0.000%,0.39797,0.17%,,
553,238.6,238.1985,238.9,TRUE,0.000%,0.4015,0.17%,,
554,238.08,237.81612,238.68,TRUE,0.000%,0.26388,0.11%,,
555,238.68,238.02069,238.84,TRUE,0.000%,0.65931,0.28%,,
556,238.77,236.83243,238.29,FALSE,-0.612%,1.93757,0.81%,,
557,238.48,237.24692,238.83,TRUE,0.000%,1.23308,0.52%,,
558,238.76,237.33667,239.19,TRUE,0.000%,1.42333,0.60%,,
559,239.7,237.60341,239.75,TRUE,0.000%,2.09659,0.87%,,
560,239.66,238.11407,239.96,TRUE,0.000%,1.54593,0.64%,,
561,239.44,238.10353,239.39,FALSE,-0.537%,1.33647,0.56%,,
562,239.87,238.02713,239.35,FALSE,-0.553%,1.84287,0.77%,,
563,239.38,238.20738,239.09,FALSE,-0.369%,1.17262,0.49%,,
564,238.98,238.32922,239.47,TRUE,0.000%,0.65078,0.27%,,
565,240.3,238.64604,240.64,TRUE,0.000%,1.65396,0.69%,,
566,240.08,237.89122,238.1,FALSE,-0.088%,2.18878,0.92%,,
567,235.82,236.3806,235.73,TRUE,0.000%,-0.5606,-0.24%,,
568,236.77,235.95631,237.33,TRUE,0.000%,0.81369,0.34%,,
569,238.31,237.07509,238.9,TRUE,0.000%,1.23491,0.52%,,
570,239.52,237.96002,239.95,TRUE,0.000%,1.55998,0.65%,,
571,240.05,238.58244,240.32,TRUE,0.000%,1.46756,0.61%,,
572,240.61,239.5338,241.2,TRUE,0.000%,1.0762,0.45%,,
573,241.76,240.13135,241.54,FALSE,-0.583%,1.62865,0.67%,,
574,241.71,240.82068,241.34,FALSE,-0.215%,0.88932,0.37%,,
575,241.5,240.748,241.84,TRUE,0.000%,0.752,0.31%,,
576,241.44,240.05101,241.97,TRUE,0.000%,1.38899,0.57%,,
577,243.36,241.1507,243.42,TRUE,0.000%,2.2093,0.91%,,
578,244.17,241.78548,243.97,FALSE,-0.895%,2.38452,0.98%,,
579,243.99,241.90076,243.34,FALSE,-0.591%,2.08924,0.86%,,
580,243.21,242.31587,243.6,TRUE,0.000%,0.89413,0.37%,,
581,243.66,242.17294,243.77,TRUE,0.000%,1.48706,0.61%,,
582,243.78,242.35817,244.09,TRUE,0.000%,1.42183,0.58%,,
583,243.41,241.56879,243.13,FALSE,-0.642%,1.84121,0.76%,,
584,243.36,242.14095,243.98,TRUE,0.000%,1.21905,0.50%,,
585,244.55,242.68391,244.86,TRUE,0.000%,1.86609,0.76%,,
586,244.24,241.98364,242.68,FALSE,-0.287%,2.25636,0.93%,,
587,243.77,241.95677,242.77,FALSE,-0.335%,1.81323,0.75%,,
588,242.64,242.34311,243.59,TRUE,0.000%,0.29689,0.12%,,
589,244.66,242.5992,244.25,FALSE,-0.676%,2.0608,0.84%,,
590,243.01,242.73546,243.42,TRUE,0.000%,0.27454,0.11%,,
591,242.95,241.9118,242.96,TRUE,0.000%,1.0382,0.43%,,
592,242.84,241.81766,242.91,TRUE,0.000%,1.02234,0.42%,,
